country,countrycode,ts,type,sport,event,medalist
Algeria,ALG,2016-08-21T00:04:00Z,Silver,Athletics,Men's 1500m,Taoufik Makhloufi
Algeria,ALG,2016-08-16T01:47:00Z,Silver,Athletics,Men's 800m,Taoufik Makhloufi
Argentina,ARG,2016-08-18T21:27:52Z,Gold,Hockey,Men,Men's team
Argentina,ARG,2016-08-16T18:50:00Z,Gold,Sailing,Nacra 17 Mixed,Lange/Carranza Saroli
Argentina,ARG,2016-08-14T19:30:00Z,Silver,Tennis,Men's Singles,Juan Martin Del Potro
Argentina,ARG,2016-08-06T19:47:00Z,Gold,Judo,Women -48 kg,Paula Pareto
Armenia,ARM,2016-08-16T23:40:00Z,Silver,Weightlifting,Men's +105kg,Gor Minasyan
Armenia,ARM,2016-08-16T21:38:00Z,Gold,Wrestling,Men's Greco-Roman 98 kg,Artur Aleksanyan
Armenia,ARM,2016-08-16T20:38:00Z,Silver,Wrestling,Men's Greco-Roman 66 kg,Migran Arutyunyan
Armenia,ARM,2016-08-15T23:40:00Z,Silver,Weightlifting,Men's 105kg,Simon Martirosyan
Australia,AUS,2016-08-19T21:20:00Z,Gold,Modern Pentathlon,Women's Individual,Chloe Esposito
Australia,AUS,2016-08-19T15:20:00Z,Silver,Athletics,Men's 50km Walk,Jared Tallent
Australia,AUS,2016-08-18T18:05:00Z,Silver,Sailing,49er Men,Outteridge/Jensen
Australia,AUS,2016-08-18T17:50:00Z,Silver,Sailing,470 Men,Belcher/Ryan
Australia,AUS,2016-08-18T12:15:00Z,Bronze,Canoe Sprint,Men's Kayak Double 1000m,Wallace/Tame
Australia,AUS,2016-08-16T18:50:00Z,Silver,Sailing,Nacra 17 Mixed,Waterhouse/Darmanin
Australia,AUS,2016-08-16T17:50:00Z,Gold,Sailing,Laser Men,Tom Burton
Australia,AUS,2016-08-14T02:16:00Z,Bronze,Swimming,Men's 4 x 100m Medley Relay,Men's team
Australia,AUS,2016-08-14T02:01:00Z,Silver,Swimming,Women's 4 x 100m Medley Relay,Women's team
Australia,AUS,2016-08-13T20:39:00Z,Bronze,Cycling Track,Women's Keirin,Anna Meares
Australia,AUS,2016-08-13T13:52:00Z,Gold,Rowing,Women's Single Sculls,Kimberley Brennan
Australia,AUS,2016-08-12T21:50:00Z,Silver,Cycling Track,Men's Team Pursuit,Men's team
Australia,AUS,2016-08-12T19:10:00Z,Bronze,Athletics,Men's 20km Walk,Dane Bird-Smith
Australia,AUS,2016-08-12T14:34:00Z,Silver,Rowing,Men's Four,Men's team
Australia,AUS,2016-08-12T01:32:00Z,Silver,Swimming,Men's 200m Backstroke,Mitchell Larkin
Australia,AUS,2016-08-11T18:32:00Z,Bronze,Canoe Slalom,Kayak (K1) Women,Jessica Fox
Australia,AUS,2016-08-11T13:19:00Z,Silver,Rowing,Men's Quadruple Sculls,Men's team
Australia,AUS,2016-08-11T03:07:00Z,Silver,Swimming,Women's 4 x 200m Freestyle Relay,Women's team
