ts,value
2016-05-01 23:42:14,5
2016-05-01 23:44:15,5
2016-05-01 23:46:16,6
2016-05-01 23:48:16,6
2016-05-01 23:50:17,6
2016-05-01 23:52:18,6
2016-05-01 23:54:19,6
2016-05-01 23:56:19,6
2016-05-01 23:58:22,6
2016-05-02 00:03:21,7
2016-05-02 00:08:22,7
2016-05-02 00:13:23,7
2016-05-02 00:18:23,7
2016-05-02 00:23:24,7
2016-05-02 00:28:25,7
2016-05-02 00:33:25,7
2016-05-02 00:38:26,7
2016-05-02 00:43:26,7
2016-05-02 00:48:27,7
2016-05-02 00:53:29,7
2016-05-02 00:58:28,7
2016-05-02 01:03:29,7
2016-05-02 01:08:30,7
2016-05-02 01:13:30,7
2016-05-02 01:18:31,7
2016-05-02 01:23:32,7
2016-05-02 01:28:33,7
2016-05-02 01:33:33,7
2016-05-02 01:38:34,7
2016-05-02 01:43:34,7
2016-05-02 01:48:35,7
2016-05-02 01:53:36,7
2016-05-02 01:58:37,7
2016-05-02 02:03:37,7
2016-05-02 02:08:38,7
2016-05-02 02:13:39,7
2016-05-02 02:18:39,7
2016-05-02 02:23:42,7
2016-05-02 02:28:41,7
2016-05-02 02:33:42,7
2016-05-02 02:38:43,7
2016-05-02 02:43:43,7
2016-05-02 02:48:44,7
2016-05-02 02:53:44,7
2016-05-02 02:58:45,7
2016-05-02 03:03:46,7
2016-05-02 03:08:46,7
2016-05-02 03:13:47,7
2016-05-02 03:18:48,7
2016-05-02 03:23:48,7
2016-05-02 03:28:49,7
2016-05-02 03:33:50,7
2016-05-02 03:38:50,7
2016-05-02 03:43:51,7
2016-05-02 03:48:52,7
2016-05-02 03:53:52,7
2016-05-02 03:58:53,8
2016-05-02 04:03:54,8
2016-05-02 04:08:54,8
2016-05-02 04:13:55,8
2016-05-02 04:18:56,8
2016-05-02 04:23:56,8
2016-05-02 04:28:57,8
2016-05-02 04:33:58,8
2016-05-02 04:38:58,8
2016-05-02 04:43:59,8
2016-05-02 04:49:00,8
2016-05-02 04:54:00,8
2016-05-02 04:59:01,8
2016-05-02 05:04:03,9
2016-05-02 05:09:02,10
2016-05-02 05:14:03,10
2016-05-02 05:19:04,10
2016-05-02 05:24:04,10
2016-05-02 05:29:05,10
2016-05-02 05:34:06,10
2016-05-02 05:39:06,10
2016-05-02 05:44:07,10
2016-05-02 05:49:08,11
2016-05-02 05:54:08,11
2016-05-02 05:59:09,11
2016-05-02 06:04:10,11
2016-05-02 06:09:10,11
2016-05-02 06:14:11,11
2016-05-02 06:19:12,12
